"","141 VC","144 VC","149 VC","155 VC","176 VC","177 VC","180 VC","94 VC","119 VC","121 VC","142 VC","143 VC","153 VC","178 VC"
"Dnajb12",107.478149121101,86.0990456169361,101.913070081495,97.6156102154877,97.4394182121894,103.313511748434,84.721538231992,97.5402433508258,87.1138111395184,104.983537457483,78.7966132868078,96.594532025204,97.929737716391,90.5045953016463
"Ddit4",2060.98209028925,2015.45830438785,1614.57785185291,1945.25565417369,1187.54290946106,1115.1468742331,2180.06672486251,1779.92040967321,2476.52120239488,1845.16520379818,2036.77306465597,2045.94201566637,1553.81850510007,1625.53351561388
"Anapc16",157.083448715456,156.459556013572,151.151969109634,145.83536947856,145.289132512818,187.455443997158,145.236922683415,137.614916975584,168.894123637842,159.065965844671,198.185421297123,155.947798691293,142.542173787191,170.36159115604
"Ascc1",148.815898783063,158.311148392431,121.379611557736,195.231220430975,177.478940315059,168.283864497449,198.18788407841,156.51806491179,178.672204480033,193.265148501275,121.776584170521,186.206326795574,190.418934448538,230.697988023804
"Spock2",25572.7130194515,19953.6852707723,23847.6583990699,24796.7171781126,26263.4031874069,24194.5333286332,24475.447241378,24593.7515909222,24657.6531346847,25868.1026954896,24604.8394428458,25220.483174918,24846.9506750421,29252.5048814184
"Chst3",51.9674567178951,63.87993707063,41.2232643026274,68.2133179819071,63.5096207990163,74.5561424988698,63.541153673994,85.4422286716536,88.8916440199168,93.8489198483558,64.46995632557,80.3014784305913,64.1983836140786,101.152194748899
"Pcbd1",64.9593208973689,73.1378989649242,68.705440504379,57.628492777818,83.5195013247338,54.3194752491766,48.4123075611383,41.5869254596544,75.5578974169292,64.4217161670917,95.5110464082518,39.5688444440595,71.8151409920201,92.2791952095217
"Sgpl1",44.880985347273,48.1414018503299,34.3527202521895,27.0501088548942,56.5496623552885,42.6035099993542,25.7190383918547,37.8062958724131,41.7790726893609,31.8131931689342,41.7860828036102,36.0774758166425,50.0529770550443,39.0411979732592
"Pald1",2.36215712354069,24.0707009251649,6.8705440504379,5.88045844671613,10.4399376655917,7.45561424988698,6.05153844514228,10.5857628442757,14.2226630431867,6.36263863378683,19.1022092816504,8.14652679730636,3.26432459054637,1.77459990787542
"Nodal",10.6297070559331,14.8127390308707,27.4821762017516,19.9935587188348,7.82995324919379,28.7573692495641,9.07730766771343,14.366392431517,9.77808084219084,24.655224705924,23.877761602063,13.965474509668,26.1145967243709,10.6475994472525
"Eif4ebp2",1038.16805579613,1094.29109590557,966.456529761598,1221.95926522761,981.354140565622,1079.99897848363,1281.41326575888,1092.60195071274,1185.81453122569,1119.02906971726,1033.90707736933,1032.28132417296,1076.13900668345,908.595152832214
"Lrrc20",3.54323568531103,1.85159237885884,3.43527202521895,4.7043667573729,6.08996363826184,8.52070199987084,4.53865383385671,9.07351100937914,7.11133152159334,3.97664914611677,7.16332848061889,3.49136862741701,3.26432459054637,8.87299953937709
"Ppa1",1652.32890791671,1360.92039846125,1660.38147885583,1639.47181494446,1581.65055633715,1550.76776397649,1384.2894193263,1298.26820025867,1463.15646056783,1415.68709601757,1675.02497638472,1575.77104050754,1530.96823296625,1480.0163231681
